@relation train

@attribute a numeric
@attribute b numeric
@attribute c numeric
@attribute d numeric
@attribute e numeric
@attribute f numeric
@attribute g numeric
@attribute h numeric
@attribute i numeric
@attribute j numeric
@attribute class {0,1,2,3,4,5}

@data
0.25373,0.219088,0.14316,0.720541,0.261718,-0.640182,0.182426,0.671209,-0.310094,-0.547989,0
0.09326,-0.102811,0.01513,-1.203774,0.082961,-1.22153,0.446679,-0.93928,0.687713,-1.206308,0
0.130292,-0.456114,0.292529,0.202672,0.261718,1.43606,0.295677,-0.509112,-0.247731,1.241643,0
0.142636,0.203385,-0.006209,-0.834827,0.261718,0.522513,0.55993,-1.7257,-2.087438,0.306032,0
0.068573,0.226939,0.01513,-0.609818,-1.078955,-1.927453,0.220177,-1.779753,-1.557353,-1.746474,0
-0.00549,-0.322644,0.100483,-0.519439,0.261718,-0.640182,0.257927,-0.103795,0.469443,-0.604154,0
-0.00549,-0.322644,0.100483,-0.519439,0.261718,-1.013906,0.182426,-0.593608,0.126447,-0.90112,0
0.15498,-0.251983,0.125378,-0.576698,-0.900198,0.397939,0.824183,-0.039569,0.251173,0.030741,0
0.15498,-0.377602,0.349432,0.70613,-0.006417,0.397939,0.597681,0.164156,0.812439,0.14588,0
0.401857,-0.220579,-3.210528,-1.185513,-1.168333,0.107265,0.635431,-0.113329,-0.091823,-0.130339,0
0.944986,0.132725,0.136047,0.564936,0.17234,0.480988,0.597681,0.17367,-0.091823,0.221586,0
-0.079554,0.313302,0.139604,0.295528,0.261718,1.35301,0.484429,-0.748969,-0.278912,1.053631,0
0.179667,-0.330495,0.530808,-0.314183,0.082961,-0.349509,0.446679,-0.805585,-0.65309,-0.430573,0
0.117948,-0.29909,0.473906,-0.204438,0.082961,-0.391033,-0.044076,0.321382,0.656532,-0.214557,0
-0.153617,-0.22843,0.488131,0.580183,0.261718,2.474181,0.710932,-0.066809,0.219991,1.887931,0
0.327793,0.336855,-0.020434,1.086893,0.261718,-0.10036,0.295677,0.867383,0.251173,-0.125457,0
0.130292,0.077766,-0.045329,0.285383,-0.095795,0.107265,0.333428,0.222247,0.18881,0.031079,0
0.068573,-0.204876,0.424116,1.412158,0.261718,0.522513,0.408929,0.943297,0.750076,0.357194,0
0.130292,-0.071406,0.214288,0.915742,0.261718,0.273364,0.333428,0.340021,-0.43482,0.187663,0
0.080916,0.10132,0.10404,0.14049,0.261718,0.771662,2.107697,0.498373,0.064084,-0.302885,0
-0.017834,-0.055704,0.23207,0.604621,-0.989576,0.06574,0.710932,-0.078109,-0.154186,-0.198439,0
-3.498799,3.846334,0.185837,-1.070696,-4.922215,-0.515608,0.333428,0.401316,0.438262,-0.521552,0
0.031541,-0.118513,0.374326,-0.066706,0.261718,0.522513,-0.119577,0.186989,0.40708,0.6724,0
-0.128929,0.022808,0.19295,0.837775,0.261718,0.107265,-0.044076,-0.897323,-0.746634,0.241019,0
-0.00549,-0.322644,0.100483,-0.519439,0.261718,-0.681707,0.220177,-0.64568,-0.497183,-0.617861,0
0.142636,0.470326,-2.958023,-0.379737,0.261718,1.477585,0.257927,-0.398657,-0.278912,1.304583,0
0.09326,0.423218,0.022242,-0.203782,0.082961,0.273364,0.220177,0.426886,-0.902542,0.236101,0
0.229043,0.242641,0.089814,0.12023,0.261718,0.314889,0.710932,-0.082982,-0.185368,0.005486,0
-0.104241,-0.079257,0.011573,0.220903,0.261718,-0.183409,0.597681,-1.112096,-0.65309,-0.373058,0
-3.498799,-0.22843,-3.210528,-0.316957,-4.922215,-0.806282,-0.006326,0.535612,0.251173,-0.615462,0
0.130292,0.077766,-0.045329,0.285383,-0.095795,-0.349509,0.635431,-0.496647,-0.528364,-0.534415,0
0.142636,0.486028,0.025799,0.545422,0.17234,0.439463,0.257927,-1.173274,-1.027268,0.371227,0
1.019049,0.211237,-0.155578,-0.311855,0.261718,0.522513,0.824183,0.365999,0.095265,0.127773,0
-0.153617,-0.03215,0.271191,0.057241,0.261718,0.730137,0.144676,-0.384698,-0.310094,0.710494,0
0.031541,0.117022,-0.176916,-0.620739,-1.168333,3.055529,2.560702,0.263253,-1.183175,1.159837,0
-0.091897,-0.118513,0.189393,1.280303,0.261718,0.605563,0.295677,0.864432,0.40708,0.498866,0
-3.498799,0.211237,-3.210528,-0.424226,-4.922215,0.813187,0.106925,0.262709,-0.029461,0.802125,0
0.031541,0.007106,-0.315616,2.791392,-0.542686,2.183507,0.333428,0.481695,-0.43482,1.887653,0
0.130292,0.077766,0.299642,-0.693335,0.261718,-0.183409,0.635431,-2.972888,-2.118619,-0.385619,0
0.105604,0.203385,-0.023991,0.995678,0.261718,0.439463,0.408929,1.000184,0.812439,0.300511,0
-0.042522,0.187683,0.224957,0.290963,0.261718,-0.10036,0.069175,0.685188,0.40708,0.004485,0
0.006853,0.164129,0.125378,0.58451,0.261718,-0.266459,-0.232828,1.502538,0.562987,0.003485,0
-3.498799,-0.401156,0.352988,0.786513,-4.922215,0.024215,-0.044076,0.593237,-0.466001,0.195969,0
0.266074,-0.16562,0.32098,0.483299,0.17234,0.522513,-0.044076,0.860646,0.251173,0.644408,0
-0.042522,-0.110662,0.40989,1.097277,0.261718,0.979286,0.257927,0.305733,0.064084,0.864679,0
-0.16596,-0.267686,0.256965,0.051662,0.261718,1.560634,1.352689,-0.706625,-0.372457,0.740319,0
0.019197,-0.087108,0.292529,0.240776,0.17234,-0.598658,0.220177,-0.215007,0.219991,-0.537297,0
-0.240024,-0.424709,0.089814,1.094532,0.261718,1.560634,0.144676,0.39355,0.344717,1.461673,0
0.266074,0.164129,0.118265,0.320234,0.261718,0.771662,0.52218,-0.042987,-0.185368,0.540456,0
0.130292,0.870736,-3.210528,0.062493,0.261718,0.231839,-0.006326,1.232897,0.531806,0.341715,0
-2.276758,0.454623,0.050694,-2.161546,-4.832837,-3.339298,0.861934,0.813757,-1.93153,-3.199503,0
0.994361,-0.008597,-0.148465,0.826884,0.261718,0.522513,0.257927,1.057615,-0.029461,0.435697,0
0.006853,-0.055704,0.335206,1.778897,0.261718,0.314889,0.069175,0.631369,0.313536,0.36755,0
0.15498,-0.251983,0.125378,-0.576698,-0.900198,0.647088,0.069175,-1.37067,-0.528364,0.679355,0
0.364825,-0.047852,-0.038216,0.327813,0.261718,-0.764757,0.295677,-0.425392,-0.996086,-0.729359,0
0.216699,0.124874,-3.210528,-0.886924,0.261718,-0.058835,0.182426,-0.213939,-0.185368,-0.030342,0
0.229043,0.109171,-0.066668,0.073324,0.261718,1.062336,0.031425,-0.839057,-0.43482,1.069532,0
0.080916,0.014957,0.064919,0.346104,0.17234,0.024215,1.654692,0.618826,0.001721,-0.691759,0
0.130292,-0.314793,0.417003,1.051058,0.082961,0.231839,0.371178,0.362329,-0.43482,0.114536,0
0.15498,0.054213,0.164499,-0.048325,0.261718,-0.474083,0.333428,0.553979,0.687713,-0.479878,0
-0.06721,-0.275537,0.253409,0.371526,-1.078955,0.896237,0.673182,-0.202581,-0.621908,0.537178,0
0.031541,-2.426761,0.37077,0.77977,0.17234,0.730137,0.824183,-0.325578,0.032902,0.30291,0
0.080916,0.650903,-0.023991,0.472826,0.261718,-0.723232,0.52218,0.795254,0.251173,-0.790973,0
-0.017834,-0.055704,0.23207,0.604621,-0.989576,0.854712,0.597681,0.831328,0.500624,0.546472,0
0.204355,-0.354049,0.32098,0.410166,-0.989576,0.273364,0.408929,0.478958,0.001721,0.140407,0
0.587014,0.399665,0.064919,0.116828,-1.615223,1.35301,0.106925,0.381745,0.001721,1.289225,0
-0.030178,-0.220579,0.242739,1.988271,0.17234,0.024215,-0.006326,1.723485,0.812439,0.148689,0
-0.017834,-0.047852,0.093371,-0.139302,0.261718,0.688613,-0.006326,-1.189525,-1.058449,0.786887,0
0.192011,-0.259834,0.402778,-0.06593,0.261718,-0.391033,0.182426,-0.652378,0.095265,-0.324921,0
0.389513,-0.220579,-3.210528,-2.624155,0.261718,0.14879,1.050686,-1.87681,-1.089631,-0.266912,0
-0.030178,0.014957,0.264078,0.374062,0.261718,0.14879,0.182426,0.426808,0.313536,0.177223,0
0.056229,0.007106,0.406334,0.455401,0.261718,-0.058835,0.220177,-0.482726,-0.746634,-0.062264,0
0.364825,0.195534,0.175168,-0.027618,0.261718,0.688613,0.52218,-0.125735,0.40708,0.43841,0
-0.042522,-0.236281,-3.210528,-0.272051,0.261718,0.937762,0.257927,-1.230045,-0.777816,0.836362,0
-0.00549,-0.220579,-3.210528,1.071885,0.261718,0.480988,0.069175,1.517469,0.375899,0.518094,0
-0.116585,-0.338346,-3.210528,-0.865829,-1.168333,2.183507,-0.195078,-1.391464,-0.65309,2.30892,0
-0.054866,0.580242,0.032912,-0.016668,0.261718,0.854712,0.031425,0.445486,0.219991,0.913611,0
0.327793,-2.426761,-2.324983,-1.744082,0.440474,-0.141884,0.257927,1.477958,0.18881,-0.146915,0
0.241386,-0.322644,0.310311,0.49055,0.261718,0.771662,0.371178,-0.11294,-0.091823,0.603227,0
-0.091897,-0.189174,0.345875,0.235912,0.261718,-0.557133,0.257927,-0.384115,0.18881,-0.522914,0
0.117948,-0.291239,0.306755,0.255993,0.17234,-0.266459,0.295677,0.401491,0.126447,-0.273132,0
0.130292,0.336855,0.100483,0.382834,0.17234,0.06574,-0.119577,-0.680763,-0.964905,0.225841,0
-0.091897,-0.189174,0.345875,0.235912,0.261718,1.062336,0.257927,-0.084011,0.282354,0.934189,0
0.031541,0.36826,-0.027547,0.237135,0.17234,-0.847807,0.182426,0.170777,0.157628,-0.740618,0
0.031541,0.117022,-0.176916,-0.620739,-1.168333,-2.342701,0.484429,-0.04885,0.219991,-2.210271,0
0.15498,-0.236281,0.01513,0.558909,0.17234,0.937762,0.182426,-0.258361,-0.123005,0.866066,0
0.006853,-0.668096,0.477462,1.62168,0.17234,0.190314,0.55993,-0.529692,-1.682078,-0.018239,0
-0.017834,-0.055704,0.23207,0.604621,-0.989576,-0.681707,0.408929,0.148993,0.032902,-0.706623,0
0.105604,-0.09496,0.324537,0.557118,0.17234,-0.266459,0.182426,0.640261,0.251173,-0.21915,0
0.266074,-0.16562,0.32098,0.483299,0.17234,1.186911,0.182426,1.120424,0.282354,1.103009,0
0.130292,0.870736,-3.210528,0.062493,0.261718,0.107265,0.144676,1.61309,0.905984,0.147905,0
0.266074,-0.16562,0.32098,0.483299,0.17234,0.813187,0.144676,0.173884,-0.029461,0.776387,0
0.204355,-0.448263,0.349432,0.689659,0.261718,-0.432558,0.484429,0.838492,0.064084,-0.51825,0
-0.017834,0.132725,0.125378,1.357345,0.261718,0.107265,0.408929,1.174651,-0.216549,-0.011428,0
0.080916,0.077766,0.050694,0.857319,-1.257711,0.273364,0.333428,0.45564,0.718895,0.171135,0
0.327793,0.336855,-0.020434,1.086893,0.261718,0.024215,0.597681,1.185018,0.375899,-0.18026,0
0.080916,-0.071406,0.160942,1.225521,0.17234,0.480988,-0.044076,0.822902,0.500624,0.587508,0
-0.474557,0.446772,-3.210528,-0.716161,0.351096,3.221628,0.597681,-1.243034,-0.528364,2.614289,0
0.019197,-0.016448,-3.210528,-0.310423,0.261718,0.107265,0.748682,0.375706,0.001721,-0.189458,0
0.031541,-2.426761,0.37077,0.77977,0.17234,1.519109,0.52218,0.633835,0.219991,1.168806,0
0.438888,0.289748,0.14316,-0.282494,0.261718,-0.141884,0.371178,-0.670823,-0.590727,-0.202936,0
0.364825,-0.149918,0.107596,-1.108143,0.17234,-0.432558,0.182426,0.104221,-0.528364,-0.359278,0
5.759087,-0.236281,0.377883,-2.104317,-1.79398,-1.553729,-8.877673,-1.799615,-2.586341,-5.342652,0
0.142636,-0.330495,0.299642,0.418282,0.17234,-0.681707,0.295677,0.976866,0.375899,-0.654918,0
0.09326,0.329004,0.271191,-0.813522,0.17234,2.100457,0.975185,-0.579143,-0.029461,1.398432,0
0.216699,0.2976,0.249852,-0.041313,0.261718,-0.681707,-0.044076,-0.047277,-0.278912,-0.47784,0
0.056229,-0.087108,0.089814,1.312409,0.082961,0.688613,0.031425,0.700876,0.157628,0.716944,0
0.080916,0.650903,-0.023991,0.472826,0.261718,1.685209,0.106925,-1.301687,-0.684271,1.628528,0
-0.042522,-0.236281,-3.210528,-0.272051,0.261718,0.937762,0.371178,0.091465,0.313536,0.745538,0
0.648733,0.242641,-0.045329,-0.444157,0.261718,0.14879,0.446679,1.156788,0.469443,0.011019,0
-0.00549,0.305451,0.018686,-0.04009,0.261718,-0.10036,0.182426,-0.375165,-0.154186,-0.065218,0
0.192011,-0.259834,0.402778,-0.06593,0.261718,0.397939,0.069175,-0.661348,0.064084,0.461194,0
0.043885,-0.079257,0.061363,0.565085,0.261718,0.024215,0.635431,0.717263,-0.123005,-0.198258,0
0.241386,-0.126364,0.417003,0.096091,0.17234,-0.349509,0.408929,0.76417,0.656532,-0.413297,0
0.117948,-0.220579,-3.210528,-1.623238,0.261718,-0.10036,0.446679,-0.457001,-0.185368,-0.209192,0
-0.042522,0.540986,0.253409,-0.836378,0.261718,1.311485,0.408929,-0.234519,-0.372457,1.054173,0
0.105604,0.556689,-0.031104,0.619301,0.17234,0.107265,0.220177,0.540971,0.032902,0.080372,0
0.080916,0.014957,0.064919,0.346104,0.17234,-0.307984,0.257927,0.543495,0.095265,-0.300196,0
0.117948,0.124874,0.128935,0.3837,0.17234,-0.141884,0.295677,-0.017553,-0.933723,-0.16677,0
0.105604,0.10132,0.246296,0.08708,0.261718,0.190314,0.484429,0.459853,0.219991,0.01167,0
0.031541,-0.346197,-0.009765,1.029902,0.082961,0.979286,0.220177,0.058207,0.375899,0.891031,0
0.229043,0.242641,0.089814,0.12023,0.261718,0.480988,0.635431,-0.094049,-0.185368,0.194679,0
-3.498799,0.745117,0.150273,0.685183,-4.922215,0.024215,0.673182,0.59912,-2.399252,-0.221753,0
0.09326,-1.680899,0.356544,0.180532,0.17234,0.439463,0.446679,-0.45537,0.032902,0.267914,0
0.080916,-0.118513,0.445454,-0.188027,0.261718,1.560634,0.333428,0.410946,0.375899,1.34117,0
1.142487,0.062064,0.125378,1.05983,0.261718,0.771662,0.824183,0.941414,-0.372457,0.339147,0
-0.104241,-0.079257,0.011573,0.220903,0.261718,-0.01731,0.333428,0.513265,0.656532,-0.077899,0
0.031541,-0.118513,0.374326,-0.066706,0.261718,0.024215,0.144676,0.653366,0.62535,0.062302,0
0.142636,-1.916434,-0.023991,-0.504341,0.261718,0.397939,0.861934,-1.577309,-1.027268,-0.017371,0
0.179667,-0.43256,0.150273,-1.883217,-1.078955,-1.055431,-0.081827,-2.195398,-1.588534,-0.808332,0
0.068573,0.533135,0.488131,0.255665,-0.632064,0.14879,0.673182,0.155556,0.001721,-0.115234,0
0.204355,-0.275537,0.360101,-0.278884,0.261718,-0.349509,0.220177,-0.003302,-0.154186,-0.32509,0
0.216699,-0.424709,0.306755,-0.043283,0.261718,-0.598658,0.106925,0.276067,-0.091823,-0.484567,0
-0.252367,-0.149918,0.313868,-0.243616,0.261718,0.937762,0.069175,-0.085797,0.157628,0.957769,0
-0.202992,-0.338346,0.434785,-0.184417,0.082961,-0.349509,0.371178,-1.098195,-2.087438,-0.390803,0
0.303106,0.022808,0.146717,-1.815842,0.261718,0.06574,0.106925,-0.614343,-0.091823,0.125868,0
0.31545,-0.236281,0.37077,0.812174,0.261718,0.480988,0.144676,0.584267,0.251173,0.479867,0
0.167323,0.226939,0.239183,-0.094813,0.17234,0.522513,0.257927,0.079602,0.032902,0.463243,0
-0.00549,0.478177,0.029355,-0.247644,0.17234,-0.141884,0.295677,0.421158,0.251173,-0.170856,0
0.130292,-0.456114,0.292529,0.202672,0.261718,-0.01731,-0.232828,-0.291601,-0.185368,0.236571,0
0.130292,-0.314793,0.417003,1.051058,0.082961,0.979286,0.446679,0.725029,0.968347,0.740704,0
-0.128929,12.655362,-0.16269,1.993015,-3.22403,-1.595254,-0.044076,3.987439,-3.646511,-1.313743,0
0.25373,-2.426761,0.352988,-0.05119,-0.095795,1.768258,0.144676,-0.753668,-0.154186,1.643175,0
0.377169,0.179832,0.064919,-1.533962,0.261718,-0.391033,0.257927,0.064517,-0.154186,-0.3736,0
0.068573,0.533135,0.488131,0.255665,-0.632064,-0.432558,0.635431,0.342079,0.157628,-0.596885,0
0.204355,0.360409,0.139604,0.299019,-0.095795,-0.557133,0.371178,1.378532,0.843621,-0.57011,0
-0.042522,0.10132,0.288973,0.722153,0.261718,0.439463,0.371178,0.455426,0.251173,0.308033,0
0.389513,0.556689,0.431229,-1.955514,0.082961,-0.972381,-0.006326,-2.332218,-1.775623,-0.76908,0
-0.030178,0.438921,-0.045329,0.766462,0.17234,-0.183409,-0.044076,-1.146752,-1.276719,-0.016189,0
0.080916,0.077766,0.050694,0.857319,-1.257711,-0.349509,-0.157328,1.143819,0.40708,-0.106096,0
0.019197,-0.338346,-0.358293,-0.113223,0.17234,-1.055431,0.069175,0.621234,-3.178789,-0.867583,0
0.019197,-0.424709,0.33165,0.137655,-0.006417,-0.764757,0.144676,0.692197,0.219991,-0.654086,0
0.080916,0.014957,0.064919,0.346104,0.17234,0.107265,-2.724356,0.404325,0.282354,-1.642655,0
0.142636,0.069915,0.399221,0.568039,-1.168333,-0.224934,0.408929,1.155876,0.032902,-0.304596,0
0.512951,-0.008597,-0.045329,-1.738144,-1.525845,0.688613,0.295677,0.820941,0.375899,0.57268,0
0.438888,0.289748,0.14316,-0.282494,0.261718,-0.224934,0.446679,0.741959,0.032902,-0.322619,0
0.09326,-0.385453,0.352988,0.546705,0.261718,0.107265,-0.044076,0.061934,0.718895,0.240163,0
0.130292,-0.126364,0.377883,0.755362,0.261718,0.439463,0.371178,0.665385,0.157628,0.305381,0
-0.474557,0.446772,-3.210528,-0.716161,0.351096,3.055529,0.710932,-1.543351,-0.964905,2.382661,0
0.229043,0.242641,0.089814,0.12023,0.261718,-0.681707,-0.044076,0.545611,0.219991,-0.47983,0
0.056229,0.533135,0.185837,0.882801,0.261718,-0.266459,0.446679,0.395588,-0.590727,-0.360761,0
-2.215039,-0.173471,3.941399,-1.56941,-2.509005,-3.297773,-0.459331,-0.558835,-1.993893,-2.753825,0
0.130292,0.336855,0.100483,0.382834,0.17234,1.186911,0.295677,-0.394949,-0.310094,1.042698,0
-0.042522,0.187683,0.224957,0.290963,0.261718,0.231839,0.371178,-0.007903,0.40708,0.120214,0
-3.498799,0.611647,0.064919,0.455102,-4.922215,-0.307984,0.55993,1.042607,-1.775623,-0.466593,0
-0.153617,-0.22843,0.488131,0.580183,0.261718,0.937762,0.484429,0.470687,-0.029461,0.705322,0
-0.153617,-0.03215,0.271191,0.057241,0.261718,0.190314,0.371178,-1.215095,-0.933723,0.109546,0
0.142636,0.486028,0.025799,0.545422,0.17234,0.273364,0.069175,0.444049,0.157628,0.32649,0
-3.498799,-0.550328,0.050694,-0.629422,-4.922215,-0.557133,0.55993,-0.59153,-0.590727,-0.673797,0
0.562327,-0.000745,-3.210528,-2.832246,0.261718,0.024215,0.55993,0.214423,0.157628,-0.165094,0
0.068573,0.148427,0.111153,0.179577,0.261718,-0.01731,-0.081827,0.133286,0.18881,0.155199,0
0.006853,-0.181323,0.388552,0.301377,-0.095795,-0.889332,0.597681,0.345516,0.18881,-0.982239,0
0.09326,-0.055704,0.068476,0.305076,0.261718,0.356414,0.220177,0.288046,-0.091823,0.322535,0
0.512951,-0.008597,-0.045329,-1.738144,-1.525845,-0.183409,0.295677,1.750648,0.313536,-0.201404,0
-0.104241,-0.079257,0.011573,0.220903,0.261718,1.477585,0.106925,-0.594578,0.251173,1.398637,0
0.15498,-0.236281,0.01513,0.558909,0.17234,0.480988,-0.006326,0.330799,0.219991,0.575669,0
-0.252367,0.093469,0.239183,-0.021441,0.17234,1.809783,0.408929,-1.234355,-0.65309,1.513715,0
-0.264711,-0.275537,0.384996,1.343918,0.261718,0.896237,-0.006326,0.338293,-0.497183,0.945726,0
-0.00549,0.478177,0.029355,-0.247644,0.17234,1.186911,-0.044076,-1.162207,-0.154186,1.247767,0
0.229043,0.572391,0.050694,-0.980138,-0.274551,-2.176602,0.144676,-1.256119,0.40708,-1.936451,0
1.772024,0.014957,0.335206,-0.08619,-2.687761,0.107265,0.257927,-0.240926,-0.060642,0.081855,0
0.130292,0.077766,-0.045329,0.285383,-0.095795,1.311485,0.257927,-0.155402,0.095265,1.153906,0
0.229043,0.124874,0.182281,0.686496,0.261718,-0.474083,0.106925,-1.092098,-1.588534,-0.371285,0
0.056229,0.533135,0.185837,0.882801,0.261718,-0.224934,0.446679,1.025327,0.126447,-0.320702,0
0.241386,0.23479,0.121822,1.037988,0.261718,1.228436,1.050686,0.181184,-0.060642,0.609014,0
0.031541,-0.09496,-0.031104,0.803253,0.261718,1.103861,1.239438,0.332255,0.064084,0.39518,0
0.25373,-2.426761,0.352988,-0.05119,-0.095795,-0.681707,-3.026359,0.580365,0.344717,-1.930134,0
0.130292,0.007106,0.239183,0.766194,0.261718,0.273364,0.333428,0.581763,-0.216549,0.174378,0
0.117948,-0.29909,0.473906,-0.204438,0.082961,0.06574,0.408929,-0.617566,0.282354,-0.044615,0
-0.030178,0.014957,0.264078,0.374062,0.261718,0.771662,0.710932,-0.563921,-0.154186,0.412961,0
-0.104241,-0.079257,0.011573,0.220903,0.261718,0.024215,0.031425,0.142042,0.40708,0.130606,0
0.117948,-0.220579,0.367214,0.914608,0.261718,0.190314,-0.270579,0.914174,0.562987,0.461158,0
0.09326,0.2976,-0.013322,0.1091,0.261718,0.06574,0.484429,0.177592,0.095265,-0.082047,0
0.266074,-0.16562,0.32098,0.483299,0.17234,0.024215,-0.42158,-0.984362,-0.964905,0.383149,0
0.09326,0.423218,0.022242,-0.203782,0.082961,0.480988,0.257927,0.679946,0.18881,0.407693,0
1.21655,0.156278,-0.013322,0.353593,0.17234,0.813187,0.824183,-0.121037,-0.840179,0.380653,0
0.031541,-0.118513,0.374326,-0.066706,0.261718,-0.183409,0.069175,-0.149985,0.500624,-0.068726,0
0.377169,0.164129,0.139604,-0.241825,0.17234,0.273364,0.333428,-0.253818,-0.185368,0.178742,0
0.327793,0.336855,-0.020434,1.086893,0.261718,0.522513,0.748682,1.01692,0.001721,0.168869,0
-0.104241,-0.079257,0.011573,0.220903,0.261718,-0.183409,0.673182,0.251254,0.375899,-0.395853,0
0.105604,-0.149918,0.438342,0.934659,0.261718,0.937762,0.333428,0.309733,-0.029461,0.776014,0
0.09326,-0.102811,0.01513,-1.203774,0.082961,-1.013906,0.182426,-1.544671,0.001721,-0.905219,0
-3.498799,0.454623,0.128935,-5.440122,-0.006417,-0.806282,0.182426,-1.456836,-1.058449,-0.702066,0
0.117948,-0.291239,0.306755,0.255993,0.17234,-0.307984,0.182426,0.66121,-0.060642,-0.24907,0
-3.498799,0.43107,0.466793,0.713201,-4.922215,-0.01731,0.824183,1.794196,-1.900349,-0.333661,0
0.117948,-0.008597,0.623275,-0.855684,0.17234,-1.055431,-2.648855,0.044965,-1.058449,-1.058271,0
0.500607,-0.220579,-0.03466,0.497323,0.17234,0.06574,0.031425,0.160972,-0.091823,0.161974,0
1.043737,-0.401156,0.473906,0.506215,0.261718,0.397939,0.031425,-0.028445,-0.715453,0.472514,0
-0.264711,-0.275537,0.384996,1.343918,0.261718,1.43606,0.182426,-0.010039,0.157628,1.31759,0
0.056229,0.533135,0.185837,0.882801,0.261718,0.06574,0.52218,1.127588,0.157628,-0.092257,0
0.25373,0.219088,0.14316,0.720541,0.261718,-0.058835,0.333428,0.45665,-0.497183,-0.059033,0
0.241386,-0.126364,0.417003,0.096091,0.17234,0.14879,0.52218,-0.062576,0.001721,-0.033187,0
-0.017834,-0.055704,0.23207,0.604621,-0.989576,0.564038,1.730193,1.260836,0.594169,-0.291058,0
1.21655,0.156278,-0.013322,0.353593,0.17234,0.480988,0.031425,0.051838,-0.964905,0.547557,0
0.15498,0.140576,0.228514,0.766134,-1.257711,1.35301,0.446679,-0.615159,-0.497183,1.072401,0
-3.498799,0.062064,0.338762,0.963304,-4.922215,-0.474083,0.484429,1.323664,-1.526171,-0.556524,0
0.648733,0.242641,-0.045329,-0.444157,0.261718,0.647088,0.257927,-0.335674,-0.372457,0.559648,0
-0.079554,0.313302,0.139604,0.295528,0.261718,1.519109,0.106925,-0.908428,-0.466001,1.439649,0
0.179667,-0.330495,0.530808,-0.314183,0.082961,-0.349509,0.144676,0.15806,-0.154186,-0.275278,0
0.327793,-2.426761,0.008017,-0.54498,-0.006417,-0.349509,0.937434,0.068652,0.375899,-0.671482,0
0.105604,-0.251983,0.466793,0.287084,0.261718,-0.681707,0.144676,0.864568,0.344717,-0.574294,0
0.130292,-0.024299,0.246296,0.121006,0.082961,-0.349509,0.182426,-1.000419,-0.902542,-0.303307,0
-0.030178,-0.220579,0.242739,1.988271,0.17234,0.647088,-0.119577,1.701799,0.687713,0.819942,0
0.241386,-0.126364,0.417003,0.096091,0.17234,0.314889,0.446679,0.967566,0.937165,0.169207,0
-0.030178,0.014957,0.264078,0.374062,0.261718,0.439463,0.031425,0.942365,0.251173,0.508631,0
-0.252367,-0.149918,0.313868,-0.243616,0.261718,0.979286,0.295677,-0.176914,-0.65309,0.830949,0
0.31545,-0.047852,0.14316,-0.574788,0.261718,0.564038,0.408929,-0.360273,-0.123005,0.395072,0
-0.017834,0.132725,0.125378,1.357345,0.261718,1.020811,0.220177,0.723747,-0.029461,0.9288,0
